"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"66","Normal/Others","WS/MP18157/2025-2026/188718-Providing drains and gutters for public drainage","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Sewerage line In Vill. Issewal, Block Sidhwan Bet, Distt. Ludhiana.","02-Apr-2025","1000000","08-May-2025"
"67","Normal/Others","WS/MP18157/2024-2025/157077-Construction of public toilets and bathrooms","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Bathroom in Cremation ground at Lohara, Ward no-33, Distt. Ludhiana","05-Dec-2024","450000","10-Feb-2025"
"68","Normal/Others","WS/MP18157/2024-2025/157095-Construction of public toilets and bathrooms","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Bathroom in Cremation ground at Dholewal, Ward no-50, Distt. Ludhiana","05-Dec-2024","450000","10-Feb-2025"
"69","Normal/Others","WS/MP18157/2025-2026/198811-Construction of public irrigation facilities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Sewerage line From house of Jagtej Singh Grewal to house of Jagjit Singh and from Water tank to house of Hardit Singh in Vill. Raqba, Bock Sudhar, Distt. Ludhiana","13-May-2025","400000","10-Jul-2025"
"70","Normal/Others","WS/MP18157/2025-2026/241178-Construction of public irrigation facilities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Boundary Wall of Village Pond (Chapar) In Vill. Fatehgarh Gujjran, Block Ludhiana-1, Distt. Ludhiana","09-Oct-2025","200000","24-Nov-2025"
"71","Normal/Others","WS/MP18157/2026-2027/276674-Construction of public irrigation facilities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Bathroom In Park of Vill. Boparai Kalan, Block Sudhar, Distt. Ludhiana","30-Mar-2026","200000","30-Jul-2026"
"72","Normal/Others","WS/MP18157/2026-2027/260375-Construction of public irrigation facilities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Public Bathroom near PUDA Nursery, opp. Jiwan Nagar Police Chowki,  Ward no. 26, Halka East, Distt. Ludhiana","20-Jan-2026","200000","09-Jul-2026"
"73","Normal/Others","WS/MP18157/2026-2027/260377-Construction of public irrigation facilities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of New Public Bathroom near Mukesh Sweets Shop Market, near Vodafone Store Ward no. 26, Halka East, Distt. Ludhiana","20-Jan-2026","200000","09-Jul-2026"
"74","Normal/Others","WS/MP18157/2026-2027/267154-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street with Interlocking tiles in Street no. 6B and 7B, Basant Nagar, Lohara, Ward no. 36, Halka South, Distt. Ludhiana","09-Feb-2026","1000000","07-Apr-2026"
"75","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street with interlocking tiles from house of Sarabjit Singh to house of Narinder Singh, Vill. Khera Bet, Block Ludhiana-1, Distt. Ludhiana","20-Aug-2026","380000","NA"
"76","Normal/Others","WS/MP18157/2026-2027/276292-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Repair and Renovation Street of Delhi Computer wali Gali, Gali no. 4, Vill. Bhagat Singh NAgar Dugri, Block Ludhiana-1, Distt. Ludhiana","27-Mar-2026","500000","19-May-2026"
"77","Normal/Others","WS/MP18157/2026-2027/276295-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street with Interlocking tiles and Sewerage Street of Maha Rishi Valmiki Mandir, Vill. Ramgarh Bhullar, Block Jagraon, Distt. Ludhiana","27-Mar-2026","200000","11-Jun-2026"
"78","Normal/Others","WS/MP18157/2025-2026/241179-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street with Interlocking tiles From Gali number 3, house of Ram Pal to house of Amarjit Singh and Gali number 1, house of Balvir Singh to Gali number 4, house of Manjit Singh in Vill. Jasdev Singh Nagar, Mohalla Bachitar Nagar, Block Ludhiana-1, Distt. Ludhiana","09-Oct-2025","800000","24-Nov-2025"
"79","Normal/Others","WS/MP18157/2025-2026/241180-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street with Interlocking tiles From Hotel Le Aley to connect with Jassian Road via Aman Vihar Colony, Shri Adinath Jain Vidya Enclave in Vill. Hussainpura, Block Ludhiana-1, Distt. Ludhiana","09-Oct-2025","500000","24-Nov-2025"
"80","Normal/Others","WS/MP18157/2025-2026/239559-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street with Interlocking tiles and Sewerage line from house of Amarjit Singh to house of Satwant Singh, Vill. Aligarh (SAS Nagar), Block Jagraon, Distt. Ludhiana","03-Oct-2025","500000","26-Nov-2025"
"81","Normal/Others","WS/MP18157/2025-2026/239560-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street with Interlocking tiles From Gurudwara Shri Guru Granth Sahib ji main gate (Dharamshala) to Medical Store, Vill. Rasulpur (Mallah), Block Jagraon, Distt. Ludhiana","03-Oct-2025","700000","26-Nov-2025"
"82","Normal/Others","WS/MP18157/2025-2026/239561-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Sewerage line From house of Bachan Singh to house of Baldev Singh, Vill. Kothe Khanjuran, Block Jagraon, Distt. Ludhiana","03-Oct-2025","500000","26-Nov-2025"
"83","Normal/Others","WS/MP18157/2025-2026/239563-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street with Interlocking tiles From house of Gurmeet Singh to house of Manjeet Singh, Vill. Amargarh Kaler, Block Jagraon, Distt. Ludhiana","03-Oct-2025","500000","26-Nov-2025"
"84","Normal/Others","WS/MP18157/2025-2026/239564-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street with Interlocking tiles and Sewerage line From house of Gurmeet Singh to house of Manjeet Singh, Vill. Shafipura, Block Jagraon, Distt. Ludhiana","03-Oct-2025","600000","26-Nov-2025"
"85","Normal/Others","WS/MP18157/2025-2026/239569-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street and Drain in Vill. Galib Kalan, Block Jagraon, Distt. Ludhiana","03-Oct-2025","250000","26-Nov-2025"
"86","Normal/Others","WS/MP18157/2025-2026/239572-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street with Interlocking tiles and Sewerage line Street of Maha Rishi Valmiki Mandir, Vill. Ramgarh Bhullar, Block Jagraon, Distt. Ludhiana","03-Oct-2025","200000","26-Nov-2025"
"87","Normal/Others","WS/MP18157/2025-2026/239574-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Sewerage line From Village Chappar to Tejas Public School in Vill. Sidhwan Khurd, Block Jagraon, Distt. Ludhiana","03-Oct-2025","500000","26-Nov-2025"
"88","Normal/Others","WS/MP18157/2025-2026/239575-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Sewerage line From house of Jasmail Singh to house of Gurpreet Singh, Vill. Kothe Baggu, Block Jargon, Distt. Ludhiana","03-Oct-2025","500000","26-Nov-2025"
"89","Normal/Others","WS/MP18157/2025-2026/239576-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Sewerage line for drainage water From house of Darshan Singh-Hajuran Singh near Hanuman Mandir to house of Parminder Singh, Vill. Kakar, Block Jagraon, Distt. Ludhiana","03-Oct-2025","500000","26-Nov-2025"
"90","Normal/Others","WS/MP18157/2025-2026/198806-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles from house of Rajwindewr Singh-Luxman Singh to Jassoawal Road in Vill. Shekhupura, Block Sudhar, Distt. Ludhiana","13-May-2025","300000","10-Jul-2025"
"91","Normal/Others","WS/MP18157/2025-2026/232173-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by Laying Interlock tiles from house of Darshan Singh-Kaku Singh to house of Sohan Singh-Virk Singh, Vill. Joraha, Block Pakhowal, Distt. Ludhiana","08-Sep-2025","200000","24-Dec-2025"
"92","Normal/Others","WS/MP18157/2025-2026/232174-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by Laying Interlock tiles From house of Pal Singh to house of Arshdeep Singh, Vill. Latala, Block Pakhowal, Distt. Ludhiana","08-Sep-2025","100000","24-Dec-2025"
"93","Normal/Others","WS/MP18157/2025-2026/198800-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles from house of Bota Singh- Lal Singh to house of Ajit Singh in Vill. Salemputa Tibba, Block Sidhwan Bet, Distt. Ludhiana","13-May-2025","200000","17-Oct-2025"
"94","Normal/Others","WS/MP18157/2025-2026/188771-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles in Ward no.2, house of Gadila Singh to house of Late Chota Singh in Vill. Baddowal, Block Sudhar, Distt. Ludhiana","02-Apr-2025","160000","07-May-2025"
"95","Normal/Others","WS/MP18157/2025-2026/192014-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From house of Bikkar Singh to Park and house of Gurpreet Singh Gora to Main Road in Vill. Galib Khurd, Block Jagraon, Distt. Ludhiana","17-Apr-2025","500000","08-May-2025"
"96","Normal/Others","WS/MP18157/2025-2026/192015-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From house of Jaswinder Singh-Sant Singh to house of Swaran Singh-Surjit Singh in Vill.Khatra Chuhram, Block Dehlon, Distt. Ludhiana","17-Apr-2025","300000","08-May-2025"
"97","Normal/Others","WS/MP18157/2025-2026/188711-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles from house of Darshan Singh-Kaku Singh to Sohan Singh-Waqil Singh in Vill. Joraha, Block Pakhowal, Distt. Ludhiana","02-Apr-2025","200000","09-May-2025"
"98","Normal/Others","WS/MP18157/2025-2026/188714-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles from house of Mintu-Ajib Singh to house of Rupinder Singh-Bahadar Singh, Vill. Latala, Block Pakhowal, Distt. Ludhiana.","02-Apr-2025","100000","09-May-2025"
"99","Normal/Others","WS/MP18157/2024-2025/172348-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles in From Shop of Pal Singh to House of Harcharan Singh in Village Bhai Himmat Singh Nagar, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","400000","17-Mar-2025"
"100","Normal/Others","WS/MP18157/2024-2025/172353-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From House of Kulwant Singh to House of Gaganpreet Singh in Village Bhai Himmat Singh Nagar, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","350000","17-Mar-2025"
"101","Normal/Others","WS/MP18157/2024-2025/172495-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles in From House of Laxmi Gupta to House of Sagarin Village Gagandeep Colony, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","200000","17-Mar-2025"
"102","Normal/Others","WS/MP18157/2024-2025/172545-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From House of Mangi Singh to House of Sukhdev Singh in Village Kutbewal Gujran, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","200000","17-Mar-2025"
"103","Normal/Others","WS/MP18157/2025-2026/188695-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From house of Kuldip Singh to house of Charan Singh in Vill. Pandori, Block Sudhar, Distt. Ludhiana","01-Apr-2025","400000","07-May-2025"
"104","Normal/Others","WS/MP18157/2025-2026/188696-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From Ground of Vill. Braich to Asli Ghar Shamshanghat in Vill.  Kailpur, Block Sudhar, Distt. Ludhiana","01-Apr-2025","300000","07-May-2025"
"105","Normal/Others","WS/MP18157/2025-2026/188697-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Shelter at Shamshanghat, Vill. Hans Kalan, Block Sudhar, Distt. Ludhiana.","01-Apr-2025","200000","07-May-2025"
"106","Normal/Others","WS/MP18157/2025-2026/188698-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of prayer ground with Interlocking tiles In Govt. Primary School, Vill. Dhaipai, Block Pakhowal, Distt. Ludhiana","02-Apr-2025","200000","14-May-2025"
"107","Normal/Others","WS/MP18157/2025-2026/178661-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles at Arjan Nagar, Back Side C.C Cold Storage, Ward no-87, Distt. Ludhiana","03-Mar-2025","1000000","17-Jul-2025"
"108","Normal/Others","WS/MP18157/2025-2026/187795-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From Pahariya Karyana Store to house of Gurdev Singh in Village Motti Bagh, Distt. Ludhiana","29-Mar-2025","420000","15-Apr-2025"
"109","Normal/Others","WS/MP18157/2025-2026/187796-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From house of Didar Singh to house of Shukla Sharma in Village Motti Bagh, Distt. Ludhiana","29-Mar-2025","214000","15-Apr-2025"
"110","Normal/Others","WS/MP18157/2025-2026/187797-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From house of Aslam Ali to house of Manga in Village Motti Bagh, Distt. Ludhiana","29-Mar-2025","319000","15-Apr-2025"
"111","Normal/Others","WS/MP18157/2024-2025/172489-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles in From House of Amarjeet Singh to House of Joga Singh in Village Satjot Nagar, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","450000","17-Mar-2025"
"112","Normal/Others","WS/MP18157/2024-2025/172455-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From House of Nachattar Singh-Mukhtiar Singh to house of Paramjit Singh in Village Khatra Chuhram, Block Dehlon, Distt. Ludhiana","04-Feb-2025","300000","27-Mar-2025"
"113","Normal/Others","WS/MP18157/2024-2025/172486-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From House of Jagmail Singh to House of Bachan Singh in Village Kheri, Block Ludhiana-1, Distt. Ludhiana","04-Feb-2025","450000","17-Mar-2025"
"114","Normal/Others","WS/MP18157/2024-2025/163249-Provision of escalator and travellators for public use","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Public Lift, Lawyers Chamber Complex, Ward no-01, Jagraon, Distt. Ludhiana","02-Jan-2025","2500000","30-Jan-2025"
"115","Normal/Others","WS/MP18157/2024-2025/163245- Laying of synthetic turfs for hockey and football","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Synthetic Badminton Court Mat, Mini Rose Garden, New Kidwai Nagar, Ward no-53, Distt. Ludhiana","02-Jan-2025","250000","30-Jan-2025"
"116","Normal/Others","WS/MP18157/2025-2026/236878- Laying of synthetic turfs for hockey and football","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Synthetic Badminton Court Mat in Mini Rose Garden, New Kidwai Nagar, Ward no-53, Distt. Ludhiana","23-Sep-2025","250000","09-Dec-2025"
"117","Normal/Others","WS/MP18157/2025-2026/188715-Construction of buildings for sports facilities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Gym Room in Vill. Talwandi Kalan, Block Sidhwan Bet, Distt. Ludhiana.","02-Apr-2025","300000","08-May-2025"
"118","Normal/Others","WS/MP18157/2025-2026/188730-Construction of buildings for sports facilities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Gym Room in Vill. Ranke, Block Sidhwan Bet, Distt. Ludhiana.","02-Apr-2025","300000","08-May-2025"
"119","Normal/Others","WS/MP18157/2025-2026/188731-Construction of buildings for sports facilities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Gym Room in Vill. Bassian Bet, Block Sidhwan Bet, Distt. Ludhiana.","02-Apr-2025","400000","08-May-2025"
"120","Normal/Others","WS/MP18157/2025-2026/188708-Construction of buildings for sports facilities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Sports Room in Play Ground In Vill. Dholan, Block Pakhowal, Distt. Ludhiana","02-Apr-2025","400000","08-Oct-2025"
"121","Normal/Others","WS/MP18157/2026-2027/276679-Construction of buildings for sports facilities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Indoor Gym Room in Vill. Morkarima, Block Sidhwan Bet, Distt. Ludhiana","30-Mar-2026","500000","30-Jul-2026"
"122","Normal/Others","WS/MP18157/2025-2026/188700-Construction of buildings for multi-gym","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Gym Room  In Vill. Khandoor, Block Pakhowal, Distt. Ludhiana","02-Apr-2025","500000","09-May-2025"
"123","Normal/Others","WS/MP18157/2025-2026/178650-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines and Playground Swings at Park at Opp. House no.3146, Sector-32A, Ward no.19, Distt. Ludhiana","03-Mar-2025","299236","22-Aug-2025"
"124","Normal/Others","WS/MP18157/2025-2026/178651-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines and Playground Swings at adjoining GRD Colony, Sector 39, Ward no.19, Distt. Ludhiana","03-Mar-2025","299236","19-Dec-2025"
"125","Normal/Others","WS/MP18157/2025-2026/178652-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines and Playground Swings at Rajan Dhani Kothi no.117, Sector-39A, Opp. Moti Nagar Police Station Back Side Govt. Collage, Ward no.19, Distt. Ludhiana","03-Mar-2025","299236","22-Aug-2025"
"126","Normal/Others","WS/MP18157/2024-2025/172297-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Indoor Gym Machines in Village Bodalwala, Distt. Ludhiana","04-Feb-2025","200000","28-Mar-2025"
"127","Normal/Others","WS/MP18157/2025-2026/188773-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Indoor Gym Machines in Vill. Bassian Bet, Block Sidhwan Bet, Distt. Ludhiana","02-Apr-2025","200000","21-Jul-2025"
"128","Normal/Others","WS/MP18157/2025-2026/236874-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Indoor Gym Machines in Village Hathur, Distt. Ludhiana","23-Sep-2025","200000","18-Dec-2025"
"129","Normal/Others","WS/MP18157/2025-2026/236875-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Indoor Gym Machines in Village Gagra, Distt. Ludhiana","23-Sep-2025","200000","18-Dec-2025"
"130","Normal/Others","WS/MP18157/2025-2026/198817-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines at Panchsheel Park, Urban Estate, Phase-1, Dugri Road, Ward no-50, Distt. Ludhiana","13-May-2025","399178","19-Dec-2025"
"131","Normal/Others","NA-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines In Park No. 50, Ward no. 51, Model Town, Distt. Ludhiana","27-Mar-2026","400000","NA"
"132","Normal/Others","NA-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of canopy In Park no. 9, Ward no. 51, Model Town, Distt. Ludhiana","27-Mar-2026","100000","NA"
"133","Normal/Others","NA-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines in Park of Village Alamgir, Block Ludhiana-1, Distt. Ludhiana","27-Mar-2026","400000","NA"
"134","Normal/Others","NA-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines In Tutiyan wala Mandir Park, W.no.88, Ludhiana","27-Mar-2026","400000","NA"
"135","Normal/Others","NA-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Multi Garden Gym Machines in Park of Amargarh Kaler, Block Jagraon, Distt. Ludhiana","27-Mar-2026","400000","NA"
